OBJECTID,SSL,LAND_USE_CODE,LAND_USE_DESCRIPTION,LANDAREA,PROPERTY_ADDRESS,OWNER_NAME_PRIMARY,APPRAISED_VALUE_PRIOR_LAND,APPRAISED_VALUE_PRIOR_IMPR,APPRAISED_VALUE_PRIOR_TOTAL,APPRAISED_VALUE_PROPOSED_LAND,APPRAISED_VALUE_PROPOSED_IMPR,APPRAISED_VALUE_PROPOSED_TOTAL,APPRAISED_VALUE_CURRENT_LAND,APPRAISED_VALUE_CURRENT_BLDG,VACANT_USE,HOMESTEAD_CODE,HOMESTEAD_DESCRIPTION,TAX_TYPE_DESCRIPTION,TAXRATE,MIXED_USE,OWNER_OCCUPIED_COOP_UNITS,LAST_SALE_PRICE,LAST_SALE_DATE,DEED_DATE,CURRENT_ASSESSMENT_CAP,PROPOSED_ASSESSMENT_CAP,OWNER_NAME_SECONDARY,ADDRESS_ID,LASTMODIFIEDDATE,APPRAISED_VALUE_CURRENT_TOTAL
13,PI0009010387,191,Vacant-True,1749,7TH ST SE WASHINGTON DC 20003,700 PENN LLC,27558090,0,27558090,25629024,0,25629024,25629024,0,YES,,NO HOMESTEAD,Mixed Use,0,Y,0,0,,,25629024,25629024,,,1/27/2023 8:03:12 AM,25629024
14,PI0004730347,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,744491,744491,0,774491,774491,0,774491,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,774491,774491,,,1/27/2023 8:03:12 AM,774491
15,PI0004730355,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,41059299,41059299,0,41059299,41059299,0,41059299,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,41059299,41059299,,,1/27/2023 8:03:12 AM,41059299
16,PI0004730344,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,5117026,5117026,0,5117026,5117026,0,5117026,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels betwee",1.77,,0,0,,,5117026,5117026,,,1/27/2023 8:03:12 AM,5117026
17,PI0004730363,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,5813325,5813325,0,5813325,5813325,0,5813325,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels betwee",1.77,,0,0,,,5813325,5813325,,,1/27/2023 8:03:12 AM,5813325
18,PI0004730334,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,6179829,6179829,0,6179829,6179829,0,6179829,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels betwee",1.77,,0,0,,,6179829,6179829,,,1/27/2023 8:03:12 AM,6179829
19,PI0004730353,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,810668,810668,0,810668,810668,0,810668,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,810668,810668,,,1/27/2023 8:03:12 AM,810668
20,PI0004730342,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,204708,204708,0,204708,204708,0,204708,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,204708,204708,,,1/27/2023 8:03:12 AM,204708
21,PI0004730339,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,147134,147134,0,147134,147134,0,147134,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,147134,147134,,,1/27/2023 8:03:12 AM,147134
22,PI0004730358,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,154849,154849,0,154849,154849,0,154849,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,154849,154849,,,1/27/2023 8:03:12 AM,154849
23,PI0004730335,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,387577,387577,0,387577,387577,0,387577,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,387577,387577,,,1/27/2023 8:03:12 AM,387577
24,PI0004730354,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,864713,864713,0,864713,864713,0,864713,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,864713,864713,,,1/27/2023 8:03:12 AM,864713
25,PI0004730343,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,188825,188825,0,188825,188825,0,188825,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,188825,188825,,,1/27/2023 8:03:12 AM,188825
26,PI0004730362,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,16502075,16502075,0,16502075,16502075,0,16502075,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,16502075,16502075,,,1/27/2023 8:03:12 AM,16502075
27,PI0004730332,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,12859735,12859735,0,12859735,12859735,0,12859735,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,12859735,12859735,,,1/27/2023 8:03:12 AM,12859735
28,PI0004730352,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,13275547,13275547,0,13275547,13275547,0,13275547,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,13275547,13275547,,,1/27/2023 8:03:12 AM,13275547
29,PI0004730341,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,823904,823904,0,823904,823904,0,823904,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,823904,823904,,,1/27/2023 8:03:12 AM,823904
30,PI0004730337,091,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,18763827,0,18763827,18763827,0,18763827,18763827,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,18763827,18763827,,,1/27/2023 8:03:12 AM,18763827
31,PI0004730356,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,177796,177796,0,177796,177796,0,177796,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,177796,177796,,,1/27/2023 8:03:12 AM,177796
32,PI0004730345,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,430151,430151,0,430151,430151,0,430151,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,430151,430151,,,1/27/2023 8:03:12 AM,430151
33,PI0004730364,091,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,10233158,0,10233158,10233158,0,10233158,10233158,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,10233158,10233158,,,1/27/2023 8:03:12 AM,10233158
34,PI0004730367,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,165000,165000,0,165000,165000,0,165000,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,165000,165000,,,1/27/2023 8:03:12 AM,165000
35,PI0004730348,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,723535,723535,0,723535,723535,0,723535,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,723535,723535,,,1/27/2023 8:03:12 AM,723535
36,PI0004730340,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,455518,455518,0,455518,455518,0,455518,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,455518,455518,,,1/27/2023 8:03:12 AM,455518
37,PI0004730359,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,11077550,11077550,0,11077550,11077550,0,11077550,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,11077550,11077550,,,1/27/2023 8:03:12 AM,11077550
38,PI0004730336,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,544637,544637,0,544637,544637,0,544637,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,544637,544637,,,1/27/2023 8:03:12 AM,544637
39,WFI004730001,191,Vacant-True,16130,MAINE AVE SW WASHINGTON DC 00000,WHARF HORIZONTAL REIT LEASEHOLDER LLC,246510,0,246510,246510,0,246510,246510,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,246510,246510,,,1/27/2023 8:03:12 AM,246510
40,PI0004730346,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,4758788,4758788,0,4758788,4758788,0,4758788,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,4758788,4758788,,,1/27/2023 8:03:12 AM,4758788
41,PI0004730365,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,4736613,4736613,0,4736613,4736613,0,4736613,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,4736613,4736613,,,1/27/2023 8:03:12 AM,4736613
42,PI0004730361,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,2420150,2420150,0,2420150,2420150,0,2420150,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,2420150,2420150,,,1/27/2023 8:03:12 AM,2420150
43,PI0004730338,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,1143980,1143980,0,1143980,1143980,0,1143980,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1143980,1143980,,,1/27/2023 8:03:12 AM,1143980
44,PI0004730357,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF HORIZONTAL REIT LEASEHOLDER LLC,0,1206848,1206848,0,1206848,1206848,0,1206848,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1206848,1206848,,,1/27/2023 8:03:12 AM,1206848
45,PI0004730368,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,CAPITAL YACHT CLUB INC,0,190590,190590,0,190590,190590,0,190590,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,190590,190590,,,1/27/2023 8:03:12 AM,190590
46,PI0004730360,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,CAPITAL YACHT CLUB INC,0,4500000,4500000,0,4500000,4500000,0,4500000,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,4500000,4500000,,,1/27/2023 8:03:12 AM,4500000
47,PI0004730366,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,CAPITAL YACHT CLUB INC,0,120900,120900,0,120900,120900,0,120900,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,120900,120900,,,1/27/2023 8:03:12 AM,120900
48,PI0003740306,092,Vacant-With Permit,0,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",9840,0,9840,9840,0,9840,9840,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,9840,9840,,,1/27/2023 8:03:12 AM,9840
49,PI0003740290,092,Vacant-With Permit,344,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",56270,0,56270,56270,0,56270,56270,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,56270,56270,,,1/27/2023 8:03:12 AM,56270
50,PI0003740282,092,Vacant-With Permit,308,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",50380,0,50380,50380,0,50380,50380,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,50380,50380,,,1/27/2023 8:03:12 AM,50380
51,PI00N5630410,091,Vacant-True,6348,NEW JERSEY AVE NW WASHINGTON DC 20001,CAPITOL VISTA COMMUNITY PARTNERS LLC,5425830,0,5425830,5425830,0,5425830,5425830,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,5425830,5425830,,,1/27/2023 8:03:12 AM,5425830
52,PI0003740304,092,Vacant-With Permit,0,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",2230,0,2230,2230,0,2230,2230,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,2230,2230,,,1/27/2023 8:03:12 AM,2230
53,PI0003740288,092,Vacant-With Permit,5003,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",818430,0,818430,818430,0,818430,818430,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,818430,818430,,,1/27/2023 8:03:12 AM,818430
54,PI0003740280,092,Vacant-With Permit,10,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",1640,0,1640,1640,0,1640,1640,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1640,1640,,,1/27/2023 8:03:12 AM,1640
55,PI0003740296,092,Vacant-With Permit,0,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",829650,0,829650,829650,0,829650,829650,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,829650,829650,,,1/27/2023 8:03:12 AM,829650
56,PI0003740229,191,Vacant-True,1048,9TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",176400,0,176400,176400,0,176400,176400,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,176400,176400,,,1/27/2023 8:03:12 AM,176400
57,PI0003740241,191,Vacant-True,0,9TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",96520,0,96520,96520,0,96520,96520,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,96520,96520,,,1/27/2023 8:03:12 AM,96520
58,PI0003740249,191,Vacant-True,0,11TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",3740,0,3740,3740,0,3740,3740,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,3740,3740,,,1/27/2023 8:03:12 AM,3740
59,PI0003740233,191,Vacant-True,1197,H ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",319640,0,319640,319640,0,319640,319640,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,319640,319640,,,1/27/2023 8:03:12 AM,319640
60,PI0003740242,191,Vacant-True,0,9TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",1290,0,1290,1290,0,1290,1290,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1290,1290,,,1/27/2023 8:03:12 AM,1290
61,PI0003740234,191,Vacant-True,4472,909 H ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",752730,0,752730,752730,0,752730,752730,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,752730,752730,,,1/27/2023 8:03:12 AM,752730
62,PI0003740286,092,Vacant-With Permit,236,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",38610,0,38610,38610,0,38610,38610,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,38610,38610,,,1/27/2023 8:03:12 AM,38610
63,PI0003740302,092,Vacant-With Permit,0,825 10TH ST NW WASHINGTON DC 20001-5079,"CCDC ESIDENTIAL RENTAL, LLC",26262670,0,26262670,26262670,0,26262670,26262670,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,26262670,26262670,,,1/27/2023 8:03:12 AM,26262670
64,PI0003740305,092,Vacant-With Permit,0,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",7500,0,7500,7500,0,7500,7500,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,7500,7500,,,1/27/2023 8:03:12 AM,7500
65,PI0003740293,092,Vacant-With Permit,13,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",2130,0,2130,2130,0,2130,2130,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,2130,2130,,,1/27/2023 8:03:12 AM,2130
66,PI0003740285,092,Vacant-With Permit,294,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",48090,0,48090,48090,0,48090,48090,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,48090,48090,,,1/27/2023 8:03:12 AM,48090
67,PI0003740301,092,Vacant-With Permit,0,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",2940,0,2940,2940,0,2940,2940,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,2940,2940,,,1/27/2023 8:03:12 AM,2940
68,PI0003740307,092,Vacant-With Permit,0,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",30010,0,30010,30010,0,30010,30010,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,30010,30010,,,1/27/2023 8:03:12 AM,30010
69,PI0003740291,092,Vacant-With Permit,97,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",15870,0,15870,15870,0,15870,15870,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,15870,15870,,,1/27/2023 8:03:12 AM,15870
70,PI0003740283,092,Vacant-With Permit,205,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",33540,0,33540,33540,0,33540,33540,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,33540,33540,,,1/27/2023 8:03:12 AM,33540
71,PI0003740289,092,Vacant-With Permit,23,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",3760,0,3760,3760,0,3760,3760,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,3760,3760,,,1/27/2023 8:03:12 AM,3760
72,PI0003740281,092,Vacant-With Permit,133,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",21760,0,21760,21760,0,21760,21760,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,21760,21760,,,1/27/2023 8:03:12 AM,21760
73,PI0003740297,092,Vacant-With Permit,0,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",350,0,350,350,0,350,350,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,350,350,,,1/27/2023 8:03:12 AM,350
74,PI0003740298,092,Vacant-With Permit,0,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",4458250,0,4458250,4458250,0,4458250,4458250,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,4458250,4458250,,,1/27/2023 8:03:12 AM,4458250
75,PI0003740278,092,Vacant-With Permit,4648,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",760350,0,760350,760350,0,760350,760350,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,760350,760350,,,1/27/2023 8:03:12 AM,760350
76,PI0003740294,092,Vacant-With Permit,17,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",2780,0,2780,2780,0,2780,2780,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,2780,2780,,,1/27/2023 8:03:12 AM,2780
77,PI0003740292,092,Vacant-With Permit,18,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",2940,0,2940,2940,0,2940,2940,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,2940,2940,,,1/27/2023 8:03:12 AM,2940
78,PI0003740284,092,Vacant-With Permit,16666,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",2726350,0,2726350,2726350,0,2726350,2726350,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,2726350,2726350,,,1/27/2023 8:03:12 AM,2726350
79,PI0003740300,092,Vacant-With Permit,0,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",4782320,0,4782320,4782320,0,4782320,4782320,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,4782320,4782320,,,1/27/2023 8:03:12 AM,4782320
80,PI0003740236,191,Vacant-True,10641,11TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",1791100,0,1791100,1791100,0,1791100,1791100,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1791100,1791100,,,1/27/2023 8:03:12 AM,1791100
